"chart_date","rank","track_id","title","artist","peak_rank"
"2015-04-18",1,2973,"Trap Queen","Fetty Wap",1
"2015-04-18",2,950,"G.D.F.R.","Flo Rida",2
"2015-04-18",3,2452,"See You Again","Wiz Khalifa",3
"2015-04-18",4,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-04-18",5,2991,"Truffle Butter","Nicki Minaj",2
"2015-04-18",6,339,"Blessings","Big Sean",5
"2015-04-18",7,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-04-18",8,2119,"Only","Nicki Minaj",1
"2015-04-18",9,1632,"Know Yourself","Drake",8
"2015-04-18",10,3088,"Watch Me","Silento",10
"2015-04-18",12,787,"Energy","Drake",5
"2015-04-18",13,123,"All Day","Kanye West",4
"2015-04-18",15,1669,"Legend","Drake",10
"2015-04-18",16,546,"CoCo","O.T. Genasis",4
"2015-04-18",19,852,"Feeling Myself","Nicki Minaj",8
"2015-04-11",1,2973,"Trap Queen","Fetty Wap",1
"2015-04-11",2,950,"G.D.F.R.","Flo Rida",2
"2015-04-11",3,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-04-11",4,2991,"Truffle Butter","Nicki Minaj",2
"2015-04-11",5,339,"Blessings","Big Sean",5
"2015-04-11",6,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-04-11",7,2119,"Only","Nicki Minaj",1
"2015-04-11",8,1632,"Know Yourself","Drake",8
"2015-04-11",9,787,"Energy","Drake",5
"2015-04-11",10,123,"All Day","Kanye West",4
"2015-04-11",11,3088,"Watch Me","Silento",10
"2015-04-11",12,1669,"Legend","Drake",10
"2015-04-11",14,546,"CoCo","O.T. Genasis",4
"2015-04-11",16,852,"Feeling Myself","Nicki Minaj",8
"2015-04-11",18,170,"Apparently","J. Cole",10
"2015-04-11",19,2452,"See You Again","Wiz Khalifa",3
"2015-04-04",1,2973,"Trap Queen","Fetty Wap",1
"2015-04-04",2,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-04-04",3,950,"G.D.F.R.","Flo Rida",2
"2015-04-04",4,2991,"Truffle Butter","Nicki Minaj",2
"2015-04-04",5,2119,"Only","Nicki Minaj",1
"2015-04-04",6,339,"Blessings","Big Sean",5
"2015-04-04",7,1317,"I Don't F**k With You","Big Sean",1
"2015-04-04",8,2035,"No Type","Rae Sremmurd",2
"2015-04-04",9,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-04-04",10,787,"Energy","Drake",5
"2015-04-04",11,123,"All Day","Kanye West",4
"2015-04-04",12,1632,"Know Yourself","Drake",8
"2015-04-04",14,1669,"Legend","Drake",10
"2015-04-04",15,546,"CoCo","O.T. Genasis",4
"2015-04-04",17,3088,"Watch Me","Silento",10
"2015-04-04",18,852,"Feeling Myself","Nicki Minaj",8
"2015-04-04",19,170,"Apparently","J. Cole",10
"2015-03-28",1,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-03-28",2,2973,"Trap Queen","Fetty Wap",1
"2015-03-28",3,950,"G.D.F.R.","Flo Rida",2
"2015-03-28",4,2991,"Truffle Butter","Nicki Minaj",2
"2015-03-28",5,2119,"Only","Nicki Minaj",1
"2015-03-28",6,1317,"I Don't F**k With You","Big Sean",1
"2015-03-28",7,339,"Blessings","Big Sean",5
"2015-03-28",8,2035,"No Type","Rae Sremmurd",2
"2015-03-28",9,123,"All Day","Kanye West",4
"2015-03-28",10,787,"Energy","Drake",5
"2015-03-28",11,546,"CoCo","O.T. Genasis",4
"2015-03-28",12,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-03-28",13,1669,"Legend","Drake",10
"2015-03-28",14,1632,"Know Yourself","Drake",8
"2015-03-28",15,170,"Apparently","J. Cole",10
"2015-03-28",16,852,"Feeling Myself","Nicki Minaj",8
"2015-03-28",17,3088,"Watch Me","Silento",10
"2015-03-28",20,2452,"See You Again","Wiz Khalifa",3
"2015-03-21",1,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-03-21",2,2973,"Trap Queen","Fetty Wap",1
"2015-03-21",3,2991,"Truffle Butter","Nicki Minaj",2
"2015-03-21",4,123,"All Day","Kanye West",4
"2015-03-21",5,950,"G.D.F.R.","Flo Rida",2
"2015-03-21",6,2119,"Only","Nicki Minaj",1
"2015-03-21",7,1317,"I Don't F**k With You","Big Sean",1
"2015-03-21",8,339,"Blessings","Big Sean",5
"2015-03-21",9,2035,"No Type","Rae Sremmurd",2
"2015-03-21",10,787,"Energy","Drake",5
"2015-03-21",11,546,"CoCo","O.T. Genasis",4
"2015-03-21",12,1669,"Legend","Drake",10
"2015-03-21",13,170,"Apparently","J. Cole",10
"2015-03-21",14,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-03-21",15,1632,"Know Yourself","Drake",8
"2015-03-21",16,852,"Feeling Myself","Nicki Minaj",8
"2015-03-21",18,3088,"Watch Me","Silento",10
"2015-03-14",1,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-03-14",2,2991,"Truffle Butter","Nicki Minaj",2
"2015-03-14",3,2973,"Trap Queen","Fetty Wap",1
"2015-03-14",4,2119,"Only","Nicki Minaj",1
"2015-03-14",5,1317,"I Don't F**k With You","Big Sean",1
"2015-03-14",6,950,"G.D.F.R.","Flo Rida",2
"2015-03-14",7,339,"Blessings","Big Sean",5
"2015-03-14",8,2035,"No Type","Rae Sremmurd",2
"2015-03-14",9,787,"Energy","Drake",5
"2015-03-14",10,546,"CoCo","O.T. Genasis",4
"2015-03-14",12,1669,"Legend","Drake",10
"2015-03-14",13,170,"Apparently","J. Cole",10
"2015-03-14",14,852,"Feeling Myself","Nicki Minaj",8
"2015-03-14",15,2918,"Throw Sum Mo","Rae Sremmurd",6
"2015-03-14",17,1632,"Know Yourself","Drake",8
"2015-03-14",20,2995,"Try Me","DeJ Loaf",8
"2015-03-07",1,2943,"Time Of Our Lives","Pitbull & Ne-Yo",1
"2015-03-07",2,2119,"Only","Nicki Minaj",1
"2015-03-07",3,2991,"Truffle Butter","Nicki Minaj",2
"2015-03-07",4,1317,"I Don't F**k With You","Big Sean",1
"2015-03-07",5,787,"Energy","Drake",5
"2015-03-07",6,950,"G.D.F.R.","Flo Rida",2
"2015-03-07",7,2973,"Trap Queen","Fetty Wap",1
